Company Name,Symbol,Country,Sector,Industry,Last EPS,3 years av,Last Growth,EPS average Growth,EPS median Growth,Years of Data,Debt to Equity,NWC per share,ROE,Free Cash Flow,Growth percentile,Total Growth percentile,Last Growth percentile,Total last Growth percentile,NWC percentile,DER percentile,Score,Performance
Upwork Inc.,UPWK,United States,Technology,EDP Services,-0.7,-0.44,-0.57,-0.72,-0.57,4,1.08,4.09,-0.36,33422000,0.362694301,0.285094067,0.295336788,0.2829233,0.784946237,0.779569892,0.1,Regular growth
Upland Software Inc.,UPLD,United States,Technology,Computer Software: Prepackaged Software,-2.2,-2.02,-0.16,-0.05,0,4,1.82,5.54,-0.16,17777000,0.621761658,0.510130246,0.393782383,0.412445731,0.845744681,0.89893617,-1.7,Regular growth
Unisys Corporation New,UIS,United States,Technology,EDP Services,-1.6,1.2,0.77,12.89,0.77,4,83.79,3.69,-4.86,-19200000,0.989637306,0.98552822,0.844559585,0.842257598,0.774193548,1,-1.7,Outperformer
Ubiquiti Inc.,UI,United States,Technology,Radio And Television Broadcasting And Communications Equipment,6.7,7.55,0.1,0.14,0.1,4,-17.48,13.49,-3.52,64657000,0.583333333,0.624457308,0.458333333,0.531837916,0.916666667,0.041666667,13.1,Regular growth
Ultra Clean Holdings Inc.,UCTT,United States,Technology,Semiconductors,0.9,1.82,-0.67,2.88,0.42,4,0.7,14.11,0.04,24000000,0.870967742,0.933429812,0.252688172,0.26121563,0.844444444,0.752808989,1.7,Outperformer
Uber Technologies Inc.,UBER,United States,Technology,EDP Services,-4.7,-2.93,-15.03,-4.56,0.43,4,1.04,0.62,-1.07,905000000,0.098445596,0.075253256,0.03626943,0.018813314,0.38172043,0.774193548,-0.2,Underperformer
Unity Software Inc.,U,United States,Technology,Retail: Computer Software & Peripheral Equipment,-3,-2.17,-0.57,-0.68,-0.57,4,0.78,3.38,-0.25,103961000,0.365853659,0.293053546,0.195121951,0.2829233,0.756097561,0.780487805,-0.9,Regular growth
Tyler Technologies Inc.,TYL,United States,Technology,Computer Software: Prepackaged Software,3.9,4.13,0.01,0.03,0.01,4,0.28,-1.59,0.06,162666000,0.660621762,0.544862518,0.479274611,0.476845152,0.063829787,0.566489362,3,Regular growth
Texas Instruments Incorporated,TXN,United States,Technology,Semiconductors,9.4,7.88,0.14,0.22,0.14,4,0.67,7.15,0.6,442000000,0.483870968,0.686685962,0.553763441,0.558610709,0.644444444,0.741573034,9.7,Regular growth
2U Inc.,TWOU,United States,Technology,Computer Software: Prepackaged Software,-4.2,-3.33,-0.6,-0.08,0.16,4,3.82,-0.99,-0.64,-30347000,0.606217617,0.497829233,0.256476684,0.274240232,0.111702128,0.936170213,-0.6,Regular growth
Twilio Inc. Class A,TWLO,United States,Technology,Computer Software: Prepackaged Software,-6.9,-5.22,-0.26,-0.44,-0.42,4,0.12,22.17,-0.12,195211000,0.388601036,0.350940666,0.357512953,0.377713459,0.973404255,0.438829787,-6.8,Regular growth
Thoughtworks Holding Inc.,TWKS,United States,Technology,EDP Services,-0.3,-0.12,-0.42,-0.32,-0.42,4,0.44,0.72,-0.14,3685000,0.492227979,0.401591896,0.331606218,0.322720695,0.416666667,0.586021505,0.4,Regular growth
Tuya Inc. American Depositary Shares each representing one Class A Ordinary Share,TUYA,China,Technology,Computer Software: Prepackaged Software,-0.3,-0.25,0.27,-0.37,0.27,4,0.01,1.32,-0.15,16070000,0.432642487,0.379884226,0.670984456,0.641099855,0.526595745,0.14893617,0.4,Regular growth
Take-Two Interactive Software Inc.,TTWO,United States,Technology,Computer Software: Prepackaged Software,-7,0.55,-2.96,-0.94,-0.3,4,0.42,-2.39,-0.12,36400000,0.279792746,0.254703329,0.088082902,0.095513748,0.037234043,0.646276596,-0.1,Regular growth
TTM Technologies Inc.,TTMI,United States,Technology,Electrical Products,0.9,1.03,0.82,1.13,0.82,4,0.58,6.05,0.06,-23581000,0.733333333,0.882778582,0.9,0.86251809,0.4,0.827586207,0.5,Regular growth
TTEC Holdings Inc.,TTEC,United States,Technology,Retail: Computer Software & Peripheral Equipment,2.2,2.56,-0.27,0.15,0.18,4,1.81,2.92,0.16,-53486000,0.707317073,0.630969609,0.414634146,0.373371925,0.707317073,0.902439024,3.7,Regular growth
The Trade Desk Inc. Class A,TTD,United States,Technology,Computer Software: Programming Data Processing,0.1,0.29,-0.61,0.03,-0.43,4,0.12,3.81,0.03,183820000,0.527777778,0.544862518,0.416666667,0.270622287,0.705882353,0.371428571,0.6,Regular growth
TSR Inc.,TSRI,United States,Technology,EDP Services,0.8,1.26,-0.76,3.78,0.46,4,0.03,4.29,0.11,566711,0.974093264,0.948625181,0.25388601,0.236613603,0.806451613,0.228494624,4.5,Outperformer
Tower Semiconductor Ltd. Ordinary Shares,TSEM,Israel,Technology,Semiconductors,2.4,1.51,0.74,0.48,0.74,4,0.1,13.21,0.14,301162000,0.591397849,0.779305355,0.806451613,0.832127352,0.777777778,0.382022472,2.9,Regular growth
TrueCar Inc.,TRUE,United States,Technology,Computer Software: Programming Data Processing,-1.3,-0.32,-2.33,-0.5,-1.54,4,0.12,1.49,-0.6,3106000,0.361111111,0.341534009,0.194444444,0.112879884,0.558823529,0.371428571,-0.4,Regular growth
Trio-Tech International,TRT,United States,Technology,Industrial Machinery/Components,0.4,0.26,-0.35,0.85,-0.35,4,0.14,4.86,0.05,-134000,0.837988827,0.848769899,0.30726257,0.344428365,0.530726257,0.29494382,-0.3,Outperformer
TROOPS Inc. Ordinary Shares ,TROO,China,Technology,Radio And Television Broadcasting And Communications Equipment,,-0.34,0.88,-0.5,-0.5,4,0,0.09,-0.01,,0.458333333,0.341534009,0.791666667,0.879884226,0.208333333,0.208333333,,Regular growth
Interactive Strength Inc.,TRNR,United States,Technology,Consumer Electronics/Appliances,-4.1,-2.38,-0.77,-1.36,-1.36,3,-27.74,-0.89,21.3,-2639000,0.25,0.205499276,0.4375,0.23154848,0.125,0.0625,5.7,Regular growth
Tremor International Ltd. American Depository Shares,TRMR,Israel,Technology,Computer Software: Programming Data Processing,0.3,0.43,-0.69,7.24,-0.6,4,0.25,1.06,0.04,8456000,0.944444444,0.969609262,0.388888889,0.251808973,0.441176471,0.542857143,0.8,Outperformer
TripAdvisor Inc.,TRIP,United States,Technology,Computer Software: Programming Data Processing,0.1,-1.03,1.13,-0.59,0.5,4,1.09,4.21,0.02,-2000000,0.305555556,0.314761216,0.916666667,0.91316932,0.764705882,0.771428571,-0.9,Regular growth
Toast Inc. Class A,TOST,United States,Technology,EDP Services,-0.7,-0.98,0.57,-0.58,-0.19,4,0.03,1.68,-0.25,37000000,0.409326425,0.316931983,0.761658031,0.782199711,0.60483871,0.228494624,-0.6,Regular growth
Tempo Automation Holdings Inc.,TMPO,United States,Technology,Industrial Machinery/Components,-16.4,-6.31,-8,-4.76,-4.76,3,-0.68,-1.23,5.57,-5303000,0.061452514,0.073806078,0.016759777,0.039073806,0.027932961,0.028089888,-0.7,Underperformer
Telos Corporation,TLS,United States,Technology,EDP Services,-0.8,-0.47,-0.22,-5.39,-0.22,4,0.07,1.53,-0.31,-2996000,0.07253886,0.059334298,0.383419689,0.388567294,0.575268817,0.336021505,0.1,Underperformer
TELUS International (Cda) Inc. Subordinate Voting Shares,TIXT,,Technology,EDP Services,0.7,0.45,1.34,0.53,0.49,4,0.96,0.64,0.1,67000000,0.857512953,0.796671491,0.943005181,0.930535456,0.39516129,0.760752688,1.7,Regular growth
Treasure Global Inc.,TGL,United States,Technology,Retail: Computer Software & Peripheral Equipment,-0.7,-0.63,0.02,-23.63,-0.52,4,-4.14,-0.11,89.98,-1900996,0.024390244,0.020260492,0.536585366,0.486251809,0.195121951,0.048780488,33.3,Underperformer
Transphorm Inc.,TGAN,United States,Technology,Semiconductors,-0.5,-0.44,-1.45,-0.38,-0.29,4,0.12,0.23,-1.56,-4697000,0.209677419,0.371924747,0.11827957,0.151230101,0.15,0.398876404,-0.7,Regular growth
Tenable Holdings Inc.,TENB,United States,Technology,Computer Software: Prepackaged Software,-0.8,-0.56,-0.89,-0.12,-0.05,4,1.21,3.18,-0.34,40316000,0.575129534,0.479739508,0.18134715,0.210564399,0.704787234,0.845744681,-0.2,Regular growth
TE Connectivity Ltd. New Switzerland Registered Shares,TEL,Switzerland,Technology,Industrial Machinery/Components,,4.51,0.1,5.2,5.2,4,0.36,10.63,0.16,944000000,0.94972067,0.959479016,0.525139665,0.531837916,0.717877095,0.497191011,,Outperformer
Atlassian Corporation Class A,TEAM,Australia,Technology,Computer Software: Prepackaged Software,-1.9,-2.09,0.07,-0.14,0.07,4,1.64,3.21,-0.74,163287000,0.562176166,0.470332851,0.518134715,0.513024602,0.723404255,0.882978723,-2,Regular growth
Teradata Corporation,TDC,United States,Technology,Computer Software: Prepackaged Software,0.3,0.92,-0.76,2.27,0.12,4,5.33,-1.5,0.13,36000000,0.958549223,0.921852388,0.21761658,0.236613603,0.071808511,0.95212766,0.2,Outperformer
Tucows Inc. Class A,TCX,Canada,Technology,EDP Services,-2.6,-0.57,-9.26,-3.44,-0.62,4,15.51,7.16,-0.29,-29540000,0.129533679,0.099855282,0.067357513,0.034732272,0.903225806,0.989247312,-0.1,Underperformer
Taboola.com Ltd. Ordinary Shares,TBLA,Israel,Technology,Computer Software: Programming Data Processing,-0.1,-0.21,0.81,0.56,0.71,4,0.25,0.4,-0.01,22798000,0.861111111,0.814037627,0.888888889,0.858176556,0.191176471,0.542857143,0,Outperformer
TaskUs Inc. Class A,TASK,United States,Technology,Retail: Computer Software & Peripheral Equipment,0.4,0.04,1.63,-0.37,0.02,4,0.73,2.13,0.09,13823000,0.43902439,0.379884226,0.951219512,0.945007236,0.634146341,0.731707317,1.8,Regular growth
Taoping Inc. Ordinary Shares ,TAOP,Hong Kong,Technology,Computer Software: Prepackaged Software,-4.5,-12.07,0.42,-0.78,0.42,4,0.72,0.71,-0.74,,0.316062176,0.276410999,0.784974093,0.712735166,0.417553191,0.755319149,-8.7,Regular growth
Taitron Components Incorporated Class A,TAIT,United States,Technology,Electronic Components,0.5,0.37,0.59,0.57,0.59,4,0,1.96,0.2,698000,0.652173913,0.817655572,0.847826087,0.793053546,0.409090909,0.217391304,-1.3,Regular growth
TransAct Technologies Incorporated,TACT,United States,Technology,Computer peripheral equipment,-0.6,-0.58,-0.4,-3.76,-0.4,4,0.11,2.67,-0.18,4136000,0.25,0.086107091,0.5625,0.331403763,0.6,0.4375,-0.5,Underperformer
Synaptics Incorporated $0.001 Par Value,SYNA,United States,Technology,Semiconductors,1.8,3.41,-0.71,0.31,-0.39,4,0.85,12.45,0.06,-91300000,0.537634409,0.73154848,0.23655914,0.248191027,0.766666667,0.797752809,2.6,Regular growth
Swvl Holdings Corp Class A Common Shares,SWVL,United Arab Emirates,Technology,Computer Software: Prepackaged Software,-24.5,-20.2,0.18,-1.14,0.16,4,0.89,-4.65,-44.31,-15544493,0.25388601,0.22431259,0.60880829,0.589725036,0.015957447,0.792553191,-9.5,Regular growth
Skyworks Solutions Inc.,SWKS,United States,Technology,Semiconductors,6.1,7.64,-0.22,0.17,-0.13,4,0.21,10.47,0.16,288500000,0.440860215,0.645441389,0.397849462,0.388567294,0.755555556,0.494382022,9.7,Regular growth
SolarWinds Corporation,SWI,United States,Technology,Computer Software: Prepackaged Software,-5.8,-1.7,-16.52,-3.51,-1.33,4,0.91,-0.45,-0.68,63272000,0.113989637,0.097684515,0.005181347,0.015918958,0.135638298,0.79787234,-0.1,Underperformer
Seagate Technology Holdings PLC Ordinary Shares (Ireland),STX,Ireland,Technology,Electronic Components,-2.6,3.39,-1.35,-0.19,0.37,4,-3.33,0.78,0.44,57000000,0.217391304,0.446454414,0.173913043,0.162083936,0.181818182,0.086956522,1,Underperformer
Streamline Health Solutions Inc.,STRM,United States,Technology,EDP Services,-0.2,-0.12,-0.53,-5.15,-0.53,4,0.31,-0.08,-0.32,-1702000,0.082901554,0.063675832,0.310880829,0.293777135,0.204301075,0.510752688,0.1,Underperformer
STMicroelectronics N.V.,STM,Switzerland,Technology,Semiconductors,4.2,2.52,0.94,0.6,0.8,4,0.17,7.96,0.32,729000000,0.677419355,0.828509407,0.88172043,0.89146165,0.666666667,0.438202247,5.8,Regular growth
Sterling Check Corp.,STER,United States,Technology,Computer Software: Prepackaged Software,0.2,-0.19,1.95,0.82,0.62,4,0.71,1,0.03,27219000,0.92746114,0.844428365,0.974093264,0.955137482,0.489361702,0.747340426,0.7,Outperformer
Stem Inc. Class A,STEM,United States,Technology,Computer Software: Prepackaged Software,-0.8,-1.68,0.16,-0.25,0.16,4,1.18,1.55,-0.22,-7122000,0.502590674,0.431259045,0.585492228,0.573082489,0.553191489,0.840425532,-1,Regular growth
Stratasys Ltd. Ordinary Shares (Israel),SSYS,United States,Technology,Computer peripheral equipment,-0.4,-3.17,0.55,-12.66,0.55,4,0.02,5.54,-0.03,-26217000,0.1875,0.031837916,0.75,0.769898698,0.933333333,0.21875,-4.6,Underperformer
Shutterstock Inc.,SSTK,United States,Technology,EDP Services,2.1,2.17,-0.15,0.85,0.25,4,0.12,-3.87,0.17,-6304000,0.886010363,0.848769899,0.411917098,0.416787265,0.037634409,0.403225806,2.9,Outperformer
SoundThinking Inc.,SSTI,United States,Technology,Computer Software: Prepackaged Software,0.5,0.08,2.37,-0.92,-0.33,4,0.1,-1.94,0.1,797000,0.287564767,0.257597685,0.989637306,0.966714906,0.053191489,0.396276596,0.7,Regular growth
SilverSun Technologies Inc.,SSNT,United States,Technology,EDP Services,-0.1,-0.01,-0.67,-1.13,-0.97,4,0.23,0.09,-0.03,1090462,0.295336788,0.225759768,0.279792746,0.26121563,0.260752688,0.462365591,0.4,Regular growth
SS&C Technologies Holdings Inc.,SSNC,United States,Technology,EDP Services,2.5,2.61,-0.17,0.17,0.27,4,1.14,1.13,0.11,182300000,0.725388601,0.645441389,0.398963731,0.406657019,0.52688172,0.784946237,3.3,Regular growth
Squarespace Inc. Class A,SQSP,United States,Technology,Computer Software: Prepackaged Software,-1.8,-5.9,0.3,0.37,0.3,4,-2.41,-1.5,0.83,47351000,0.849740933,0.750361795,0.699481865,0.654848046,0.071808511,0.042553191,-7.6,Regular growth
Sequans Communications S.A. American Depositary Shares,SQNS,France,Technology,Semiconductors,-0.2,-0.9,0.64,0.37,0.64,4,7.69,-0.21,-4.28,-5915000,0.559139785,0.750361795,0.779569892,0.812590449,0.066666667,0.988764045,-0.5,Regular growth
Block Inc. Class A,SQ,United States,Technology,Computer Software: Prepackaged Software,-0.9,-0.05,-3.82,-1.51,-0.46,4,0.3,13.62,-0.03,453483000,0.20984456,0.187409551,0.056994819,0.0723589,0.957446809,0.57712766,0.1,Underperformer
SunPower Corporation,SPWR,United States,Technology,Semiconductors,0.3,0.86,2.45,5.63,2.45,4,0.79,2.12,0.1,35526000,0.956989247,0.96382055,0.967741935,0.97105644,0.372222222,0.786516854,0.3,Outperformer
Sprout Social Inc Class A,SPT,United States,Technology,EDP Services,-0.9,-0.69,-0.74,0.06,0.15,4,0.65,0.56,-0.35,-6318000,0.647668394,0.561505065,0.259067358,0.241678726,0.365591398,0.661290323,-0.1,Regular growth
SPS Commerce Inc.,SPSC,United States,Technology,Computer Software: Prepackaged Software,1.5,1.32,0.23,0.18,0.23,4,0.02,5.84,0.1,38144000,0.779792746,0.654124457,0.637305699,0.617221418,0.856382979,0.196808511,5.2,Regular growth
Spok Holdings Inc.,SPOK,United States,Technology,Retail: Computer Software & Peripheral Equipment,1.1,-0.79,1.96,-0.22,0.51,4,0.07,0.8,0.13,2594000,0.585365854,0.438494935,0.975609756,0.95658466,0.463414634,0.37804878,1.3,Regular growth
Sapiens International Corporation N.V. Common Shares (Cayman Islands),SPNS,Curacao,Technology,Computer Software: Prepackaged Software,0.9,0.82,0.12,0.23,0.25,4,0.21,,0.13,1644000,0.81865285,0.691751085,0.551813472,0.545586107,,0.507978723,,Regular growth
Splunk Inc.,SPLK,United States,Technology,Computer Software: Prepackaged Software,-1.7,-5.23,0.79,-0.41,-0.46,4,16.4,7.18,2.51,78263000,0.414507772,0.36251809,0.878238342,0.851664255,0.893617021,0.968085106,-3.9,Regular growth
SPI Energy Co. Ltd. Ordinary Shares,SPI,China,Technology,Semiconductors,-1.3,-1.2,0.32,-0.92,0.32,4,4.11,-3.63,-1.87,8895000,0.129032258,0.257597685,0.639784946,0.664254703,0.022222222,0.95505618,-0.2,Underperformer
SuperCom Ltd. Ordinary Shares (Israel),SPCB,Israel,Technology,Semiconductors,-2,-3.47,0.49,0.33,0.37,4,9.77,3.8,-2.38,,0.548387097,0.73878437,0.709677419,0.743125904,0.488888889,1,-4,Regular growth
SoundHound AI Inc Class A,SOUN,United States,Technology,EDP Services,-0.7,-1.01,0.38,0.16,0.16,3,3.47,0.36,3.28,-20785000,0.71761658,0.638929088,0.658031088,0.696092619,0.322580645,0.930107527,0.9,Regular growth
Society Pass Incorporated,SOPA,United States,Technology,EDP Services,-1.4,-1.87,0.62,-1.8,-0.45,4,0.15,0.08,-1.69,-3016286,0.207253886,0.159913169,0.784974093,0.802460203,0.252688172,0.419354839,-1.8,Underperformer
Emeren Group Ltd American Depositary Shares each representing 10 shares,SOL,China,Technology,Semiconductors,-0.1,0.03,-1.7,0.08,0.67,4,0.16,,0.01,-4644000,0.376344086,0.578147612,0.086021505,0.13748191,,0.426966292,,Regular growth
Sohu.com Limited American Depositary Shares,SOHU,China,Technology,EDP Services,-0.5,6.93,-1.02,3.71,0.43,4,,,-0.02,,0.968911917,0.945730825,0.225388601,0.191751085,,,,Outperformer
Sonic Foundry Inc.,SOFO,United States,Technology,Computer Software: Prepackaged Software,-0.7,-0.13,-3,8,8,3,-1.29,-0.45,-1.98,-1916000,0.984455959,0.973950796,0.080310881,0.091895803,0.135638298,0.058510638,-0.9,Outperformer
TD SYNNEX Corporation,SNX,United States,Technology,Retail: Computer Software & Peripheral Equipment,6.8,7.74,0.08,-0.16,-0.16,3,0.49,36.47,0.08,552147000,0.609756098,0.461649783,0.585365854,0.517366136,1,0.634146341,15.4,Regular growth
Synopsys Inc.,SNPS,United States,Technology,Computer Software: Prepackaged Software,,5.12,0.31,0.22,0.22,4,0.11,2.83,0.2,272963000,0.813471503,0.686685962,0.707253886,0.658465991,0.675531915,0.420212766,,Regular growth
Snowflake Inc. Class A,SNOW,United States,Technology,Computer Software: Prepackaged Software,-2.5,-2.86,-0.11,-0.44,-0.11,4,0.06,6.91,-0.15,101008000,0.388601036,0.350940666,0.419689119,0.432706223,0.882978723,0.321808511,-3.5,Regular growth
Synchronoss Technologies Inc.,SNCR,United States,Technology,EDP Services,-0.2,-0.75,0.78,0.55,0.65,4,1.34,-0.29,-0.05,1135000,0.867875648,0.808972504,0.849740933,0.846599132,0.139784946,0.827956989,0.1,Regular growth
Science 37 Holdings Inc.,SNCE,United States,Technology,Computer Software: Prepackaged Software,-0.4,-1.11,0.85,-195.86,0.85,4,0.01,0.49,-0.52,-8329000,0.015544041,0.00723589,0.904145078,0.876266281,0.367021277,0.14893617,-0.9,Underperformer
Snap Inc. Class A,SNAP,United States,Technology,Computer Software: Programming Data Processing,-0.9,-0.62,-1.87,-0.41,0.13,4,1.67,2.29,-0.55,-60654000,0.388888889,0.36251809,0.25,0.13024602,0.647058824,0.857142857,-0.4,Regular growth
Snail Inc. Class A,SNAL,United States,Technology,Computer Software: Prepackaged Software,0,0.35,-0.87,0.54,-0.72,4,117.14,-0.47,0.1,-1922193,0.901554404,0.802460203,0.186528497,0.212735166,0.127659574,1,0.1,Outperformer
SMX (Security Matters) Public Limited Company Class A Ordinary Shares,SMX,Ireland,Technology,Industrial Machinery/Components,,-4.65,-0.08,-0.08,-0.08,3,2.52,0.01,-2.87,,0.290502793,0.497829233,0.418994413,0.442836469,0.097765363,0.938202247,,Regular growth
Similarweb Ltd. Ordinary Shares,SMWB,,Technology,Computer Software: Programming Data Processing,-1.1,-0.92,0.15,-0.97,-0.29,4,5.39,-0.54,-3.81,-4935000,0.25,0.251808973,0.638888889,0.56512301,0.029411765,0.971428571,-0.2,Underperformer
Semtech Corporation,SMTC,United States,Technology,Semiconductors,1,1.26,-0.5,0.52,0.94,4,3.77,3.95,0.08,-19217000,0.629032258,0.792329957,0.311827957,0.301013025,0.5,0.943820225,0.5,Regular growth
Smith Micro Software Inc.,SMSI,United States,Technology,Computer Software: Prepackaged Software,-0.5,-0.35,0.13,-2.54,-0.66,4,0.09,0.13,-0.38,1533000,0.155440415,0.136034732,0.562176166,0.551374819,0.252659574,0.377659574,0,Underperformer
SmartRent Inc. Class A,SMRT,United States,Technology,EDP Services,-0.5,-0.55,0.49,-1.76,-1.76,3,0,1.09,-0.26,13333000,0.220207254,0.16642547,0.70984456,0.743125904,0.510752688,0.107526882,0.1,Underperformer
Super Micro Computer Inc.,SMCI,United States,Technology,Computer Manufacturing,11.4,6.28,1.15,1,1.15,4,0.07,37.16,0.32,270465000,0.8,0.872648336,1,0.918958032,1,0.4,26.6,Outperformer
Smartsheet Inc. Class A,SMAR,United States,Technology,Computer Software: Prepackaged Software,-1.7,-1.32,-0.22,-0.26,-0.22,4,0.11,1.33,-0.44,45499000,0.494818653,0.4276411,0.367875648,0.388567294,0.531914894,0.420212766,-1.2,Regular growth
Simulations Plus Inc.,SLP,United States,Technology,EDP Services,0.5,0.52,-0.18,0.01,-0.06,4,0.01,5.94,0.06,2113000,0.619170984,0.526772793,0.388601036,0.401591896,0.870967742,0.147849462,2.6,Regular growth
Soluna Holdings Inc.,SLNH,United States,Technology,EDP Services,-172.2,-59.92,-12.78,-3.54,-3.5,4,0.39,-8.98,-2.13,-2296000,0.124352332,0.095513748,0.046632124,0.023154848,0.016129032,0.548387097,-6.5,Underperformer
Silicon Laboratories Inc.,SLAB,United States,Technology,Semiconductors,2.5,16.87,-0.95,56.11,-0.35,4,0.04,19.14,0.07,-38456000,1,0.994211288,0.172043011,0.200434153,0.911111111,0.264044944,32,Outperformer
SkyWater Technology Inc.,SKYT,United States,Technology,Semiconductors,-1,-1.1,0.45,-0.67,-0.3,4,1.29,-0.08,-0.73,-4910000,0.139784946,0.295947902,0.698924731,0.729377713,0.077777778,0.876404494,-0.5,Underperformer
Skillz Inc. Class A,SKLZ,,Technology,EDP Services,-21.4,-14.53,-0.55,-1.78,-0.64,4,0.6,13.6,-1.58,-18888000,0.212435233,0.162807525,0.305699482,0.287988423,0.956989247,0.64516129,-11.9,Underperformer
Skillsoft Corp. Class A,SKIL,United States,Technology,Computer Software: Prepackaged Software,-2.7,-6.26,0.73,0.73,0.73,3,1.13,-0.04,0,-14661000,0.917098446,0.836468886,0.865284974,0.829232996,0.20212766,0.835106383,-3.8,Outperformer
SiTime Corporation,SITM,United States,Technology,Semiconductors,1,0.66,-0.33,1.13,0.08,4,0.01,28.62,0.03,-8688000,0.774193548,0.882778582,0.376344086,0.354558611,0.955555556,0.084269663,0.4,Outperformer
Silicon Motion Technology Corporation American Depositary Shares,SIMO,Taiwan,Technology,Semiconductors,5.2,4.39,-0.1,0.55,0.27,4,,,0.24,47860000,0.64516129,0.808972504,0.430107527,0.437771346,,,,Regular growth
Silicom Ltd Ordinary Shares,SILC,Israel,Technology,Computer Manufacturing,2.7,1.67,0.78,0.42,0.78,4,0.04,,0.1,,0.6,0.764833575,0.9,0.846599132,,0.3,,Regular growth
Shoals Technologies Group Inc. Class A,SHLS,United States,Technology,Semiconductors,0.8,0.41,39.56,13.36,1.46,4,0.36,0.76,0.42,24409000,0.989247312,0.986975398,1,0.995658466,0.233333333,0.606741573,0.2,Outperformer
Sharecare Inc. Class A,SHCR,United States,Technology,Computer Software: Prepackaged Software,-0.3,-0.27,-0.13,-0.43,-0.5,4,0,0.45,-0.23,-7750000,0.404145078,0.356729378,0.409326425,0.426193922,0.340425532,0.098404255,0.2,Regular growth
SigmaTron International Inc.,SGMA,United States,Technology,Electrical Products,-3.4,-0.37,-2.77,1.39,2.6,4,1.45,11.35,-0.3,7128085,0.766666667,0.897250362,0.066666667,0.098408104,0.566666667,1,-1,Outperformer
SMART Global Holdings Inc. Ordinary Shares,SGH,United States,Technology,Semiconductors,,0.55,1.77,12.38,12.38,4,3.74,8.36,-0.82,29809000,0.978494624,0.984081042,0.935483871,0.950795948,0.688888889,0.93258427,,Outperformer
SEMrush Holdings Inc. Class A,SEMR,United States,Technology,EDP Services,-0.2,-0.11,-7,-2.07,0.39,4,0.06,1.2,-0.17,4965000,0.186528497,0.150506512,0.088082902,0.045586107,0.532258065,0.319892473,0.2,Underperformer
SolarEdge Technologies Inc.,SEDG,Israel,Technology,Semiconductors,1.6,2.46,-0.46,-0.13,-0.08,4,0.29,43.83,0.04,-5964000,0.301075269,0.476121563,0.333333333,0.309696093,1,0.550561798,2.2,Regular growth
SeaChange International Inc.,SEAC,United States,Technology,Computer Software: Prepackaged Software,-4.6,-6.47,-0.44,-0.38,-0.44,4,0.04,9.65,-0.37,579000,0.422279793,0.371924747,0.287564767,0.315484805,0.920212766,0.276595745,-7.9,Regular growth
SecureWorks Corp. Class A,SCWX,United States,Technology,EDP Services,-1.4,-0.7,-1.83,-0.77,-0.78,4,0.02,-0.79,-0.21,-29034000,0.352331606,0.278581766,0.165803109,0.133140376,0.091397849,0.190860215,-0.1,Regular growth
ScanSource Inc.,SCSC,United States,Technology,Retail: Computer Software & Peripheral Equipment,3.5,2.47,0.03,2.77,1.06,4,0.27,32.31,0.1,91218000,0.975609756,0.931982634,0.56097561,0.494211288,0.975609756,0.512195122,9.7,Outperformer
SciPlay Corporation Class A,SCPL,United States,Technology,EDP Services,0.9,0.85,0.18,0.23,0.18,4,0,18.3,0.04,53600000,0.766839378,0.691751085,0.575129534,0.589725036,0.967741935,0.107526882,4.8,Regular growth
Socket Mobile Inc.,SCKT,United States,Technology,Computer Manufacturing,0,-0.01,-0.98,-3.41,-0.98,4,0.35,0.75,0,-1271333,0.1,0.10130246,0.3,0.196092619,0.555555556,0.7,0.1,Underperformer
SpringBig Holdings Inc.,SBIG,United States,Technology,EDP Services,-0.6,-0.29,-1.6,-1.3,-1.6,4,-0.87,-0.17,3.03,-1070000,0.264248705,0.211287988,0.176165803,0.1447178,0.161290323,0.075268817,1,Regular growth
SharpLink Gaming Ltd. Ordinary Shares,SBET,Israel,Technology,Computer Software: Prepackaged Software,-6.2,-15.46,0.84,-17.38,-2.72,4,-3.71,-4.76,-5.1,17881715,0.03626943,0.02894356,0.89119171,0.871924747,0.010638298,0.037234043,-16.8,Underperformer
SatixFy Communications Ltd. Ordinary Share,SATX,,Technology,Radio And Television Broadcasting And Communications Equipment,-4.9,-1.79,-21.13,-10.55,-10.55,3,-0.72,-0.22,12.58,-8369000,0.041666667,0.034732272,0.083333333,0.013024602,0.125,0.166666667,0.4,Underperformer
EchoStar  Corporation,SATS,United States,Technology,Radio And Television Broadcasting And Communications Equipment,2.1,0.83,1.59,1.65,1.59,4,0.45,19.36,0.05,55152000,0.916666667,0.907380608,0.875,0.94211288,0.958333333,0.6875,2.2,Outperformer
Satellogic Inc. Class A Ordinary Shares,SATL,Uruguay,Technology,Radio And Television Broadcasting And Communications Equipment,-0.7,-0.79,0.53,-0.99,-0.04,4,0.13,0.31,-0.35,,0.333333333,0.249638205,0.708333333,0.760492041,0.25,0.458333333,-1.2,Regular growth
Sanmina Corporation,SANM,United States,Technology,Electrical Products,,3.14,0.02,0.5,0.5,4,0.15,32.26,0.13,39054000,0.633333333,0.786541245,0.483333333,0.486251809,0.966666667,0.310344828,,Regular growth
Sangoma Technologies Corporation Common Shares,SANG,Canada,Technology,Computer Software: Programming Data Processing,-0.9,-1.46,0.75,-117.74,-0.96,4,0.42,0,-0.11,5249000,0.055555556,0.008683068,0.861111111,0.836468886,0.088235294,0.628571429,-0.6,Underperformer
